ColorConvert_0 FB2
ChannelExtract_1 FB5
ChannelExtract_0 FB5
ChannelExtract_2 FB5
Gaussian3mul3_0 FB3
Gaussian3mul3_1 FB3
Gaussian3mul3_2 FB3
ChannelCombine_0 FB4
AccumulateWeighted_0 SW0
CustomConvolution_0 FB6
CustomConvolution_1 FB6
CustomConvolution_2 FB6
EqualizeHistogram_0 FB7
Median3mul3_0 FB1
AbsoluteDifference_0 FB8
ChannelCombine_1 FB4
Input SW0
Output SW0
