ColorConvert_0 FB2
ChannelExtract_1 SW0
ChannelExtract_0 SW0
ChannelExtract_2 SW0
Gaussian3mul3_0 FB3
Gaussian3mul3_1 FB3
Gaussian3mul3_2 FB3
ChannelCombine_0 FB4
AccumulateWeighted_0 FB7
CustomConvolution_0 FB5
CustomConvolution_1 FB5
CustomConvolution_2 FB5
EqualizeHistogram_0 FB6
Median3mul3_0 FB1
AbsoluteDifference_0 SW0
ChannelCombine_1 FB4
Input SW0
Output SW0
